Title,Description,Labels,State
NX Monorepo Setup,Erstelle ein NX Angular Monorepo mit SCSS und Esbuild.,Setup,opened
Shell-Modul erstellen,"Erstelle das Shell-Modul mit Layout, Navbar und Footer.","Feature, Shell",opened
Feature: Landing Page,"Erstelle das Landing-Feature mit Abschnitten (Hero, About, Projects, Best Practices, Contact).","Feature, Landing",opened
Feature: Best Practices Seite,Markdown-Integration für Best Practices mit Syntax-Highlighting.,"Feature, Best Practices",opened
Feature: CV-Timeline,Erstelle die CV-Timeline mit Emojis und passenden Hintergründen.,"Feature, CV",opened
Shared UI: Dark Mode Toggle,Füge einen Button für Dark Mode hinzu.,"Shared, UI",opened
Shared UI: Navbar mit Sprachumschaltung,Implementiere eine Navbar mit ngx-translate für Mehrsprachigkeit.,"Shared, UI",opened
Service: Projekte-Daten,Erstelle einen Service zur Verwaltung der Projekt-Daten.,"Service, API",opened
Service: CV-Daten,Erstelle einen Service zur Verwaltung der CV-Timeline-Daten.,"Service, API",opened
Routing: Lazy Loading für Features,"Setze Lazy Loading für Landing Page, Best Practices & CV-Timeline auf.","Routing, Performance",opened
Mehrsprachigkeit mit ngx-translate,Setze ngx-translate für Deutsch und Englisch ein.,Localization,opened
Responsive Design optimieren,"Stelle sicher, dass die Website auf Mobile, Tablet und Desktop gut aussieht.","Design, Responsive",opened
Testing & Bugfixing,Teste alle Features und behebe Bugs.,"Testing, Bugfix",opened
Deployment auf GitHub Pages,Erstelle eine GitHub Action für das Deployment der App.,Deployment,opened
